Gender,Age Range,Head Size(cm^3),Brain Weight(grams)
1,1,4512,1530
1,1,3738,1297
1,1,4261,1335
1,1,3777,1282
1,1,4177,1590
1,1,3585,1300
1,1,3785,1400
1,1,3559,1255
1,1,3613,1355
1,1,3982,1375
1,1,3443,1340
1,1,3993,1380
1,1,3640,1355
1,1,4208,1522
1,1,3832,1208
1,1,3876,1405
1,1,3497,1358
1,1,3466,1292
1,1,3095,1340
1,1,4424,1400
2,2,4512,1520
2,2,3738,1280
2,2,4261,1340
2,2,3777,1290
2,2,4177,1580
2,2,3585,1310
2,2,3785,1410
2,2,3559,1260
2,2,3613,1360
2,2,3982,1385
